Eseguito con cores=79, threads=1, width=8888.19, height=8888.19, time=1.278628
Eseguito con cores=80, threads=1, width=8944.27, height=8944.27, time=1.268539
Eseguito con cores=81, threads=1, width=9000.00, height=9000.00, time=1.274395
Eseguito con cores=82, threads=1, width=9055.38, height=9055.38, time=1.261537
Eseguito con cores=83, threads=1, width=9110.43, height=9110.43, time=1.278534
Eseguito con cores=84, threads=1, width=9165.15, height=9165.15, time=1.262685
Eseguito con cores=85, threads=1, width=9219.54, height=9219.54, time=1.268658
Eseguito con cores=86, threads=1, width=9273.61, height=9273.61, time=1.270355
Eseguito con cores=87, threads=1, width=9327.37, height=9327.37, time=1.274921
Eseguito con cores=88, threads=1, width=9380.83, height=9380.83, time=1.281499
Eseguito con cores=89, threads=1, width=9433.98, height=9433.98, time=1.279792
Eseguito con cores=90, threads=1, width=9486.83, height=9486.83, time=1.273199
Eseguito con cores=91, threads=1, width=9539.39, height=9539.39, time=1.281918
Eseguito con cores=92, threads=1, width=9591.66, height=9591.66, time=1.271619
Eseguito con cores=93, threads=1, width=9643.65, height=9643.65, time=1.286126
Eseguito con cores=94, threads=1, width=9695.35, height=9695.35, time=1.277817
Eseguito con cores=95, threads=1, width=9746.79, height=9746.79, time=1.292705
Eseguito con cores=96, threads=1, width=9797.95, height=9797.95, time=1.275353
Eseguito con cores=97, threads=1, width=9848.85, height=9848.85, time=1.293504
Eseguito con cores=98, threads=1, width=9899.49, height=9899.49, time=1.275116
Eseguito con cores=99, threads=1, width=9949.87, height=9949.87, time=1.279040
Eseguito con cores=100, threads=1, width=10000.00, height=10000.00, time=1.285599
Eseguito con cores=101, threads=1, width=10049.87, height=10049.87, time=1.282138
Eseguito con cores=102, threads=1, width=10099.50, height=10099.50, time=1.280183
Eseguito con cores=103, threads=1, width=10148.89, height=10148.89, time=1.299700
Eseguito con cores=104, threads=1, width=10198.03, height=10198.03, time=1.287350
Eseguito con cores=105, threads=1, width=10246.95, height=10246.95, time=1.301066
Eseguito con cores=106, threads=1, width=10295.63, height=10295.63, time=1.284507
Eseguito con cores=107, threads=1, width=10344.08, height=10344.08, time=1.305572
Eseguito con cores=108, threads=1, width=10392.30, height=10392.30, time=1.296782
Eseguito con cores=109, threads=1, width=10440.30, height=10440.30, time=1.306840
Eseguito con cores=110, threads=1, width=10488.08, height=10488.08, time=1.297227
Eseguito con cores=111, threads=1, width=10535.65, height=10535.65, time=1.300741
Eseguito con cores=112, threads=1, width=10583.00, height=10583.00, time=1.292765
Eseguito con cores=113, threads=1, width=10630.14, height=10630.14, time=1.310366
Eseguito con cores=114, threads=1, width=10677.07, height=10677.07, time=1.306088
Eseguito con cores=115, threads=1, width=10723.80, height=10723.80, time=1.303552
Eseguito con cores=116, threads=1, width=10770.32, height=10770.32, time=1.306318
Eseguito con cores=117, threads=1, width=10816.65, height=10816.65, time=1.304795
Eseguito con cores=118, threads=1, width=10862.78, height=10862.78, time=1.303257
Eseguito con cores=119, threads=1, width=10908.71, height=10908.71, time=1.320947
Eseguito con cores=120, threads=1, width=10954.45, height=10954.45, time=1.306117
Eseguito con cores=121, threads=1, width=11000.00, height=11000.00, time=1.320373
Eseguito con cores=122, threads=1, width=11045.36, height=11045.36, time=1.319930
Eseguito con cores=123, threads=1, width=11090.53, height=11090.53, time=1.316895
Eseguito con cores=124, threads=1, width=11135.52, height=11135.52, time=1.312509
Eseguito con cores=125, threads=1, width=11180.33, height=11180.33, time=1.311425
Eseguito con cores=126, threads=1, width=11224.97, height=11224.97, time=1.313706
Eseguito con cores=127, threads=1, width=11269.42, height=11269.42, time=1.319173
Eseguito con cores=128, threads=1, width=11313.70, height=11313.70, time=1.342898
Eseguito con cores=129, threads=1, width=11357.81, height=11357.81, time=1.359590
Eseguito con cores=130, threads=1, width=11401.75, height=11401.75, time=1.361204
Eseguito con cores=131, threads=1, width=11445.52, height=11445.52, time=1.351685
Eseguito con cores=132, threads=1, width=11489.12, height=11489.12, time=1.352521
Eseguito con cores=133, threads=1, width=11532.56, height=11532.56, time=1.368590
Eseguito con cores=134, threads=1, width=11575.83, height=11575.83, time=1.349933
Eseguito con cores=135, threads=1, width=11618.95, height=11618.95, time=1.361624
Eseguito con cores=136, threads=1, width=11661.90, height=11661.90, time=1.358250
Eseguito con cores=137, threads=1, width=11704.69, height=11704.69, time=1.349406
Eseguito con cores=138, threads=1, width=11747.34, height=11747.34, time=1.317775
Eseguito con cores=139, threads=1, width=11789.82, height=11789.82, time=1.359319
Eseguito con cores=140, threads=1, width=11832.15, height=11832.15, time=1.364701
Eseguito con cores=141, threads=1, width=11874.34, height=11874.34, time=1.331262
Eseguito con cores=142, threads=1, width=11916.37, height=11916.37, time=1.352977
Eseguito con cores=143, threads=1, width=11958.26, height=11958.26, time=1.361887
Eseguito con cores=144, threads=1, width=12000.00, height=12000.00, time=1.327012
Eseguito con cores=145, threads=1, width=12041.59, height=12041.59, time=1.353181
Eseguito con cores=146, threads=1, width=12083.04, height=12083.04, time=1.344503
Eseguito con cores=147, threads=1, width=12124.35, height=12124.35, time=1.314341
Eseguito con cores=148, threads=1, width=12165.52, height=12165.52, time=1.352013
Eseguito con cores=149, threads=1, width=12206.55, height=12206.55, time=1.357281
Eseguito con cores=150, threads=1, width=12247.44, height=12247.44, time=1.329346
Eseguito con cores=151, threads=1, width=12288.20, height=12288.20, time=1.314954
Eseguito con cores=152, threads=1, width=12328.82, height=12328.82, time=1.316116
Eseguito con cores=153, threads=1, width=12369.31, height=12369.31, time=1.348106
Eseguito con cores=154, threads=1, width=12409.67, height=12409.67, time=1.365723
Eseguito con cores=155, threads=1, width=12449.89, height=12449.89, time=1.341357
Eseguito con cores=156, threads=1, width=12489.99, height=12489.99, time=1.363160
Eseguito con cores=157, threads=1, width=12529.96, height=12529.96, time=1.332270
Eseguito con cores=158, threads=1, width=12569.80, height=12569.80, time=1.336960
Eseguito con cores=159, threads=1, width=12609.52, height=12609.52, time=1.326178
Eseguito con cores=160, threads=1, width=12649.11, height=12649.11, time=1.350969
Eseguito con cores=161, threads=1, width=12688.57, height=12688.57, time=1.320622
Eseguito con cores=162, threads=1, width=12727.92, height=12727.92, time=1.355091
Eseguito con cores=163, threads=1, width=12767.14, height=12767.14, time=1.358635
Eseguito con cores=164, threads=1, width=12806.24, height=12806.24, time=1.315793
Eseguito con cores=165, threads=1, width=12845.23, height=12845.23, time=1.342198
Eseguito con cores=166, threads=1, width=12884.09, height=12884.09, time=1.327506
Eseguito con cores=167, threads=1, width=12922.84, height=12922.84, time=1.319986
Eseguito con cores=168, threads=1, width=12961.48, height=12961.48, time=1.328409
Eseguito con cores=169, threads=1, width=13000.00, height=13000.00, time=1.321356
Eseguito con cores=170, threads=1, width=13038.40, height=13038.40, time=1.392356
Eseguito con cores=171, threads=1, width=13076.69, height=13076.69, time=1.304030
Eseguito con cores=172, threads=1, width=13114.87, height=13114.87, time=1.359569
Eseguito con cores=173, threads=1, width=13152.94, height=13152.94, time=1.321773
Eseguito con cores=174, threads=1, width=13190.90, height=13190.90, time=1.327352
Eseguito con cores=175, threads=1, width=13228.75, height=13228.75, time=1.324736
Eseguito con cores=176, threads=1, width=13266.49, height=13266.49, time=1.327036
Eseguito con cores=177, threads=1, width=13304.13, height=13304.13, time=1.318111
Eseguito con cores=178, threads=1, width=13341.66, height=13341.66, time=1.346410
Eseguito con cores=179, threads=1, width=13379.08, height=13379.08, time=1.414258
Eseguito con cores=180, threads=1, width=13416.40, height=13416.40, time=1.328193
Eseguito con cores=181, threads=1, width=13453.62, height=13453.62, time=1.413487
