Eseguito con cores=201, threads=1, width=14177.44, height=14177.44, time=1.533616
Eseguito con cores=202, threads=1, width=14212.67, height=14212.67, time=1.325192
Eseguito con cores=203, threads=1, width=14247.80, height=14247.80, time=1.544177
Eseguito con cores=204, threads=1, width=14282.85, height=14282.85, time=1.331521
Eseguito con cores=205, threads=1, width=14317.82, height=14317.82, time=1.356566
Eseguito con cores=206, threads=1, width=14352.70, height=14352.70, time=1.336479
Eseguito con cores=207, threads=1, width=14387.49, height=14387.49, time=1.375828
Eseguito con cores=208, threads=1, width=14422.20, height=14422.20, time=1.346664
Eseguito con cores=209, threads=1, width=14456.83, height=14456.83, time=1.330455
Eseguito con cores=210, threads=1, width=14491.37, height=14491.37, time=1.369888
Eseguito con cores=211, threads=1, width=14525.83, height=14525.83, time=1.401235
Eseguito con cores=212, threads=1, width=14560.21, height=14560.21, time=1.340977
Eseguito con cores=213, threads=1, width=14594.51, height=14594.51, time=1.635091
Eseguito con cores=214, threads=1, width=14628.73, height=14628.73, time=1.329148
Eseguito con cores=215, threads=1, width=14662.87, height=14662.87, time=1.673891
Eseguito con cores=216, threads=1, width=14696.93, height=14696.93, time=1.333613
Eseguito con cores=217, threads=1, width=14730.91, height=14730.91, time=1.347376
Eseguito con cores=218, threads=1, width=14764.82, height=14764.82, time=1.351433
Eseguito con cores=219, threads=1, width=14798.64, height=14798.64, time=1.371360
Eseguito con cores=220, threads=1, width=14832.39, height=14832.39, time=1.331681
Eseguito con cores=221, threads=1, width=14866.06, height=14866.06, time=1.357340
Eseguito con cores=222, threads=1, width=14899.66, height=14899.66, time=1.389593
Eseguito con cores=223, threads=1, width=14933.18, height=14933.18, time=1.401357
Eseguito con cores=224, threads=1, width=14966.62, height=14966.62, time=1.370189
Eseguito con cores=225, threads=1, width=15000.00, height=15000.00, time=1.349099
Eseguito con cores=226, threads=1, width=15033.29, height=15033.29, time=1.762731
Eseguito con cores=227, threads=1, width=15066.51, height=15066.51, time=1.348708
Eseguito con cores=228, threads=1, width=15099.66, height=15099.66, time=1.793860
Eseguito con cores=229, threads=1, width=15132.74, height=15132.74, time=1.349975
Eseguito con cores=230, threads=1, width=15165.75, height=15165.75, time=1.373131
Eseguito con cores=231, threads=1, width=15198.68, height=15198.68, time=1.369469
Eseguito con cores=232, threads=1, width=15231.54, height=15231.54, time=1.407087
Eseguito con cores=233, threads=1, width=15264.33, height=15264.33, time=1.357949
Eseguito con cores=234, threads=1, width=15297.05, height=15297.05, time=1.402080
Eseguito con cores=235, threads=1, width=15329.70, height=15329.70, time=1.405156
Eseguito con cores=236, threads=1, width=15362.29, height=15362.29, time=1.376871
Eseguito con cores=237, threads=1, width=15394.80, height=15394.80, time=1.391150
Eseguito con cores=238, threads=1, width=15427.24, height=15427.24, time=1.460579
Eseguito con cores=239, threads=1, width=15459.62, height=15459.62, time=1.662052
Eseguito con cores=240, threads=1, width=15491.93, height=15491.93, time=1.895139
Eseguito con cores=241, threads=1, width=15524.17, height=15524.17, time=1.346475
Eseguito con cores=242, threads=1, width=15556.34, height=15556.34, time=1.349651
Eseguito con cores=243, threads=1, width=15588.45, height=15588.45, time=1.350340
Eseguito con cores=244, threads=1, width=15620.49, height=15620.49, time=1.352630
Eseguito con cores=245, threads=1, width=15652.47, height=15652.47, time=1.361557
Eseguito con cores=246, threads=1, width=15684.38, height=15684.38, time=1.373342
Eseguito con cores=247, threads=1, width=15716.23, height=15716.23, time=1.378499
Eseguito con cores=248, threads=1, width=15748.01, height=15748.01, time=1.380841
Eseguito con cores=249, threads=1, width=15779.73, height=15779.73, time=1.427554
Eseguito con cores=250, threads=1, width=15811.38, height=15811.38, time=1.429498
Eseguito con cores=251, threads=1, width=15842.97, height=15842.97, time=1.395559
Eseguito con cores=252, threads=1, width=15874.50, height=15874.50, time=1.396163
Eseguito con cores=253, threads=1, width=15905.97, height=15905.97, time=1.489336
Eseguito con cores=254, threads=1, width=15937.37, height=15937.37, time=1.677129
Eseguito con cores=255, threads=1, width=15968.71, height=15968.71, time=1.370026
Eseguito con cores=256, threads=1, width=16000.00, height=16000.00, time=1.373435
