Eseguito con cores=134, threads=1, width=10000, height=10000, time=0.997302
Eseguito con cores=135, threads=1, width=10000, height=10000, time=0.982541
Eseguito con cores=136, threads=1, width=10000, height=10000, time=0.980414
Eseguito con cores=137, threads=1, width=10000, height=10000, time=0.984915
Eseguito con cores=138, threads=1, width=10000, height=10000, time=0.967341
Eseguito con cores=139, threads=1, width=10000, height=10000, time=0.972886
Eseguito con cores=140, threads=1, width=10000, height=10000, time=0.956657
Eseguito con cores=141, threads=1, width=10000, height=10000, time=0.955843
Eseguito con cores=142, threads=1, width=10000, height=10000, time=0.946698
Eseguito con cores=143, threads=1, width=10000, height=10000, time=0.944318
Eseguito con cores=144, threads=1, width=10000, height=10000, time=0.929310
Eseguito con cores=145, threads=1, width=10000, height=10000, time=0.923015
Eseguito con cores=146, threads=1, width=10000, height=10000, time=0.907340
Eseguito con cores=147, threads=1, width=10000, height=10000, time=0.908784
Eseguito con cores=148, threads=1, width=10000, height=10000, time=0.915185
Eseguito con cores=149, threads=1, width=10000, height=10000, time=0.891019
Eseguito con cores=150, threads=1, width=10000, height=10000, time=0.892205
Eseguito con cores=151, threads=1, width=10000, height=10000, time=0.885365
Eseguito con cores=152, threads=1, width=10000, height=10000, time=0.887240
Eseguito con cores=153, threads=1, width=10000, height=10000, time=0.893475
Eseguito con cores=154, threads=1, width=10000, height=10000, time=0.876669
Eseguito con cores=155, threads=1, width=10000, height=10000, time=0.870916
Eseguito con cores=156, threads=1, width=10000, height=10000, time=0.865000
Eseguito con cores=157, threads=1, width=10000, height=10000, time=0.878937
Eseguito con cores=158, threads=1, width=10000, height=10000, time=0.854765
Eseguito con cores=159, threads=1, width=10000, height=10000, time=0.866027
Eseguito con cores=160, threads=1, width=10000, height=10000, time=0.853205
Eseguito con cores=161, threads=1, width=10000, height=10000, time=0.830780
Eseguito con cores=162, threads=1, width=10000, height=10000, time=0.833258
Eseguito con cores=163, threads=1, width=10000, height=10000, time=0.820353
Eseguito con cores=164, threads=1, width=10000, height=10000, time=0.821124
Eseguito con cores=165, threads=1, width=10000, height=10000, time=0.816291
Eseguito con cores=166, threads=1, width=10000, height=10000, time=0.803515
Eseguito con cores=167, threads=1, width=10000, height=10000, time=0.810636
Eseguito con cores=168, threads=1, width=10000, height=10000, time=0.804916
Eseguito con cores=169, threads=1, width=10000, height=10000, time=0.799729
Eseguito con cores=170, threads=1, width=10000, height=10000, time=0.798240
Eseguito con cores=171, threads=1, width=10000, height=10000, time=0.786677
Eseguito con cores=172, threads=1, width=10000, height=10000, time=0.792159
Eseguito con cores=173, threads=1, width=10000, height=10000, time=0.784746
Eseguito con cores=174, threads=1, width=10000, height=10000, time=0.770168
Eseguito con cores=175, threads=1, width=10000, height=10000, time=0.774792
Eseguito con cores=176, threads=1, width=10000, height=10000, time=0.778766
Eseguito con cores=177, threads=1, width=10000, height=10000, time=0.774085
Eseguito con cores=178, threads=1, width=10000, height=10000, time=0.751918
Eseguito con cores=179, threads=1, width=10000, height=10000, time=0.754490
Eseguito con cores=180, threads=1, width=10000, height=10000, time=0.755865
Eseguito con cores=181, threads=1, width=10000, height=10000, time=0.740441
Eseguito con cores=182, threads=1, width=10000, height=10000, time=0.739850
Eseguito con cores=183, threads=1, width=10000, height=10000, time=0.739181
Eseguito con cores=184, threads=1, width=10000, height=10000, time=0.731356
Eseguito con cores=185, threads=1, width=10000, height=10000, time=0.756248
Eseguito con cores=186, threads=1, width=10000, height=10000, time=0.737649
Eseguito con cores=187, threads=1, width=10000, height=10000, time=0.726815
Eseguito con cores=188, threads=1, width=10000, height=10000, time=0.730014
Eseguito con cores=189, threads=1, width=10000, height=10000, time=0.726009
Eseguito con cores=190, threads=1, width=10000, height=10000, time=0.729927
Eseguito con cores=191, threads=1, width=10000, height=10000, time=0.708458
Eseguito con cores=192, threads=1, width=10000, height=10000, time=0.745066
Eseguito con cores=193, threads=1, width=10000, height=10000, time=0.804427
Eseguito con cores=194, threads=1, width=10000, height=10000, time=0.803493
Eseguito con cores=195, threads=1, width=10000, height=10000, time=0.691232
Eseguito con cores=196, threads=1, width=10000, height=10000, time=0.774882
Eseguito con cores=197, threads=1, width=10000, height=10000, time=0.695286
Eseguito con cores=198, threads=1, width=10000, height=10000, time=0.736988
Eseguito con cores=199, threads=1, width=10000, height=10000, time=0.679864
Eseguito con cores=200, threads=1, width=10000, height=10000, time=0.684517
Eseguito con cores=201, threads=1, width=10000, height=10000, time=0.689351
Eseguito con cores=202, threads=1, width=10000, height=10000, time=0.695066
Eseguito con cores=203, threads=1, width=10000, height=10000, time=0.674720
Eseguito con cores=204, threads=1, width=10000, height=10000, time=0.677298
Eseguito con cores=205, threads=1, width=10000, height=10000, time=0.675415
Eseguito con cores=206, threads=1, width=10000, height=10000, time=0.678193
Eseguito con cores=207, threads=1, width=10000, height=10000, time=0.665846
Eseguito con cores=208, threads=1, width=10000, height=10000, time=0.663656
Eseguito con cores=209, threads=1, width=10000, height=10000, time=0.660787
Eseguito con cores=210, threads=1, width=10000, height=10000, time=0.661036
Eseguito con cores=211, threads=1, width=10000, height=10000, time=0.657702
Eseguito con cores=212, threads=1, width=10000, height=10000, time=0.651548
Eseguito con cores=213, threads=1, width=10000, height=10000, time=0.655080
Eseguito con cores=214, threads=1, width=10000, height=10000, time=0.663540
Eseguito con cores=215, threads=1, width=10000, height=10000, time=0.661154
Eseguito con cores=216, threads=1, width=10000, height=10000, time=0.635599
Eseguito con cores=217, threads=1, width=10000, height=10000, time=0.639574
Eseguito con cores=218, threads=1, width=10000, height=10000, time=0.652538
Eseguito con cores=219, threads=1, width=10000, height=10000, time=0.641221
Eseguito con cores=220, threads=1, width=10000, height=10000, time=0.625641
Eseguito con cores=221, threads=1, width=10000, height=10000, time=0.627714
Eseguito con cores=222, threads=1, width=10000, height=10000, time=0.627773
Eseguito con cores=223, threads=1, width=10000, height=10000, time=0.630228
Eseguito con cores=224, threads=1, width=10000, height=10000, time=0.627801
Eseguito con cores=225, threads=1, width=10000, height=10000, time=0.617362
Eseguito con cores=226, threads=1, width=10000, height=10000, time=0.614032
Eseguito con cores=227, threads=1, width=10000, height=10000, time=0.612584
Eseguito con cores=228, threads=1, width=10000, height=10000, time=0.614791
Eseguito con cores=229, threads=1, width=10000, height=10000, time=0.609275
Eseguito con cores=230, threads=1, width=10000, height=10000, time=0.597485
Eseguito con cores=231, threads=1, width=10000, height=10000, time=0.604448
Eseguito con cores=232, threads=1, width=10000, height=10000, time=0.606122
Eseguito con cores=233, threads=1, width=10000, height=10000, time=0.609465
Eseguito con cores=234, threads=1, width=10000, height=10000, time=0.596494
Eseguito con cores=235, threads=1, width=10000, height=10000, time=0.604675
Eseguito con cores=236, threads=1, width=10000, height=10000, time=0.591448
Eseguito con cores=237, threads=1, width=10000, height=10000, time=0.590338
Eseguito con cores=238, threads=1, width=10000, height=10000, time=0.591050
Eseguito con cores=239, threads=1, width=10000, height=10000, time=0.594151
Eseguito con cores=240, threads=1, width=10000, height=10000, time=0.589663
Eseguito con cores=241, threads=1, width=10000, height=10000, time=0.587791
Eseguito con cores=242, threads=1, width=10000, height=10000, time=0.574142
Eseguito con cores=243, threads=1, width=10000, height=10000, time=0.578468
Eseguito con cores=244, threads=1, width=10000, height=10000, time=0.577137
Eseguito con cores=245, threads=1, width=10000, height=10000, time=0.580789
Eseguito con cores=246, threads=1, width=10000, height=10000, time=0.590031
Eseguito con cores=247, threads=1, width=10000, height=10000, time=0.566774
Eseguito con cores=248, threads=1, width=10000, height=10000, time=0.560366
Eseguito con cores=249, threads=1, width=10000, height=10000, time=0.577451
Eseguito con cores=250, threads=1, width=10000, height=10000, time=0.575388
Eseguito con cores=251, threads=1, width=10000, height=10000, time=0.582172
Eseguito con cores=252, threads=1, width=10000, height=10000, time=0.586447
Eseguito con cores=253, threads=1, width=10000, height=10000, time=0.577353
Eseguito con cores=254, threads=1, width=10000, height=10000, time=0.575739
Eseguito con cores=255, threads=1, width=10000, height=10000, time=0.577350
Eseguito con cores=256, threads=1, width=10000, height=10000, time=0.578812
